cohort_id,condition,module,week,rho,lo,hi,n,indicator
STAT0004_2122,hybrid,STAT0004,6,0.21366085655796496,0.05712654669905254,0.35994227349355096,172,Diversity
STAT0004_2122,hybrid,STAT0004,7,0.23174884136246537,0.07607412559473428,0.37639432823450775,172,Diversity
STAT0004_2122,hybrid,STAT0004,8,0.23666381109094559,0.08124216808538325,0.38084906697363885,172,Diversity
STAT0004_2122,hybrid,STAT0004,9,0.22525018537070574,0.06925366936469546,0.37049391111853114,172,Diversity
STAT0004_2122,hybrid,STAT0004,10,0.24267191348216596,0.08757100149205448,0.386285502020058,172,Diversity
STAT0004_2122,hybrid,STAT0004,11,0.22484558192636592,0.06882951247643415,0.37012616571771145,172,Diversity
STAT0004_2223,in_person,STAT0004,1,0.10600485906747525,-0.04273233027154182,0.25014511272018347,197,Diversity
STAT0004_2223,in_person,STAT0004,2,0.17103910890119872,0.023569538475688715,0.3112237900850947,197,Diversity
STAT0004_2223,in_person,STAT0004,3,0.2482602468600955,0.10401734990761613,0.3822746774062452,197,Diversity
STAT0004_2223,in_person,STAT0004,4,0.22472030925021175,0.07929216795177063,0.3607822771457426,197,Diversity
STAT0004_2223,in_person,STAT0004,5,0.21904918872047177,0.07336213171475899,0.3555827472340232,197,Diversity
STAT0004_2223,in_person,STAT0004,6,0.19439715897238688,0.047703777571981174,0.3328820539534738,197,Diversity
STAT0004_2223,in_person,STAT0004,7,0.19684344774780885,0.05024130381668747,0.335141903035694,197,Diversity
STAT0004_2223,in_person,STAT0004,8,0.18704965960905645,0.04009361086732043,0.32608495407834165,197,Diversity
STAT0004_2223,in_person,STAT0004,9,0.1887982420253671,0.04190315913779763,0.3277038551265788,197,Diversity
STAT0004_2223,in_person,STAT0004,10,0.1987152471476746,0.052184193398672044,0.33686997250920797,197,Diversity
STAT0004_2223,in_person,STAT0004,11,0.21502776309157787,0.06916334066312543,0.3518906012249389,197,Diversity
STAT0002_2021,online,STAT0002,1,0.18123207487500556,0.07030041289653378,0.28773591839299595,342,IDF
STAT0002_2021,online,STAT0002,2,0.2169897419987027,0.10724121488345839,0.3215139417622691,342,IDF
STAT0002_2021,online,STAT0002,3,0.2631141393063662,0.15534352378088268,0.36469540076485807,342,IDF
STAT0002_2021,online,STAT0002,4,0.2990872513085028,0.19321734634525733,0.39807270221524516,342,IDF
STAT0002_2021,online,STAT0002,5,0.27410990259215395,0.1668867469188261,0.374925490195761,342,IDF
STAT0002_2021,online,STAT0002,6,0.2751261260941553,0.16795505223977428,0.37586971263716096,342,IDF
